Store,Address,City,State,Full Address,lat,lon
Sausalito Market,46 Caledonia,Sausalito,California,"46 Caledonia, Sausalito, California",37.858653,-122.4852029
Scotty's Market,620 Freitas Parkway,San Rafael,California,"620 Freitas Parkway, San Rafael, California",38.0132671,-122.5600319
Seven Eleven -Shoreline,371 Shoreline Hwy.,Mill Valley,California,"371 Shoreline Hwy., Mill Valley, California",37.8788829,-122.5332172
"Seven Eleven-Miller Ave,M.V.",349 Miller Ave.,Mill Valley,California,"349 Miller Ave., Mill Valley, California",37.8985731,-122.5376498
"Seven Eleven-Redwood Hwy,M.V.",650 Redwood Hwy.,Mill Valley,California,"650 Redwood Hwy., Mill Valley, California",37.8911462,-122.5160216
Seven Eleven-Sausalito,1901 Bridgeway Blvd.,Sausalito,California,"1901 Bridgeway Blvd., Sausalito, California",37.861564,-122.4943541
Smart & Final - San Rafael,925 Anderson Drive,San Rafael,California,"925 Anderson Drive, San Rafael, California",37.9573657,-122.5068323
Smith Ranch Deli,101 Smith Ranch Rd.,San Rafael,California,"101 Smith Ranch Rd., San Rafael, California",38.0200893,-122.5336738
Stinson Beach Market,"Hwy. 1, Calle Del Mar",Stinson Beach,California,"Hwy. 1, Calle Del Mar, Stinson Beach, California",37.8984967,-122.6398054
Target-Marin City,180 Donahue St.,Sausalito,California,"180 Donahue St., Sausalito, California",37.873758,-122.5109307
Target-Novato,200 Vintage Way,Novato,California,"200 Vintage Way, Novato, California",38.0899033,-122.5526527
Target-San Rafael,125 Shoreline Pkwy,San Rafael,California,"125 Shoreline Pkwy, San Rafael, California",37.9555128,-122.4914782
The Bait Shop Market & Deli,#1 Gate 6 Rd,Sausalito,California,"#1 Gate 6 Rd, Sausalito, California",37.8733515,-122.5064931
"Tomales Bay Foods, Inc.",80 4th Street,Point Reyes Station,California,"80 4th Street, Point Reyes Station, California",38.0681704,-122.8071713
Uchiwa Ramen Restaurant,821 B Street,San Rafael,California,"821 B Street, San Rafael, California",37.9717836,-122.5300389
United Liq/Gather Wine-Lrkspr,1110 Magnolia Ave.,Larkspur,California,"1110 Magnolia Ave., Larkspur, California",37.9473046,-122.5465836
United Liquors-San Rafael,1556-4th St.,San Rafael,California,"1556-4th St., San Rafael, California",37.9741791,-122.535625
