sold_to_name,product_line,quantity,gross_profit,territory,date
Oliver's Market-Montecito Blvd,DCD,277.0,83.83,SN,2017-01-01
Oliver's Market-Cotati,DCD,9.0,8.79,SN,2017-01-01
Oliver's Market-Cotati,DCD,160.0,40.0,SN,2017-01-01
Oliver's Market-Cotati,DCD,735.0,760.8,SN,2017-01-01
Oliver's Market-Montecito Blvd,DCD,45.0,66.46,SN,2017-01-01
Molsberry Market,DCD,4.0,4.33,SN,2017-01-01
Molsberry Market,DCD,179.0,72.64,SN,2017-01-01
Georges Market,DCD,140.0,86.88,SF,2017-01-01
Oliver's- Windsor,DCD,420.0,179.54,SN,2017-01-01
Key Food Mart,PF,78.0,46.13,SF,2017-01-01
Nopa Liquor & Deli,PF,76.0,52.01,SF,2017-01-01
